Genus,species,Genus_species,Genus_Smithspecies,smith tree names,location,min.height.cm ,max.height.cm
Purshia,tridentata,Purshia_tridentata,Purshia_tridentata,tridentata,kipuka,100,200
,,,,,,,
Ranunculus,glaberrimus,Ranunculus_glaberrimus,Ranunculus_glaberrimus,glaberrimus,kipuka,5,20
,,,,,,,
Ribes,aureum,Ribes_aureum,Ribes_aureum,aureum,kipuka,100,300
,,,,,,,
Senecio,sphaerocephalus,Senecio_sphaerocephalus,Senecio_triangularis,triangularis,kipuka,30,80
,,,,,,,
Sisymbrium,altissimum,Sisymbrium_altissimum,Sisymbrium_altissimum,altissimum,kipuka,30,150
,,,,,,,
Stephanomeria,tenuifolia,Stephanomeria_tenuifolia,Stephanomeria_tenuifolia,tenuifolia,kipuka,20,70
,,,,,,,
Thinopyrum,intermedium,Thinopyrum_intermedium,Thinopyrum_junceum,junceum,kipuka,91.5,122
,,,,,,,
Thlaspi,arvense,Thlaspi_arvense,Thlaspi_arvense,arvense,kipuka,10,50
,,,,,,,
Toxicoscordion,paniculatum,Toxicoscordion_paniculatum,Toxicoscordion_paniculatum,paniculatum,kipuka,30.5,76
,,,,,,,
Viola,nuttallii,Viola_nuttallii,Viola_canadensis,canadensis,kipuka,3,12
,,,,,,,
Opuntia,polyacantha,Opuntia_polyacantha,Opuntia_polyacantha,polyacantha,kipuka,10,30.5
,,,,,,,
Bromus,tectorum,Bromus_tectorum,Bromus_tectorum,tectorum,kipuka,40,90
,,,,,,,
Achillea,millefolium,Achillea_millefolium,Achillea_millefolium,millefolium,regional,20,40.5
,,,,,,,
Agastache,urticifolia,Agastache_urticifolia,Agastache_urticifolia,urticifolia,regional,40,150
,,,,,,,
Agropyron,cristatum,Agropyron_cristatum,Agropyron_cristatum,cristatum,regional,30.5,91.5
,,,,,,,
Alnus,incana,Alnus_incana,Alnus_incana,incana,regional,460,2500
,,,,,,,
Amsinckia,tessellata,Amsinckia_tessellata,Amsinckia_tessellata,tessellata,regional,15,60
,,,,,,,
Antennaria,microphylla,Antennaria_microphylla,Antennaria_microphylla,microphylla,regional,5,40
,,,,,,,
Arnica,cordifolia,Arnica_cordifolia,Arnica_cordifolia,cordifolia,regional,10.25,60
,,,,,,,
Artemisia,arbuscula,Artemisia_arbuscula,Artemisia_arbuscula,arbuscula,regional,10.25,40
,,,,,,,
Calochortus,eurycarpus,Calochortus_eurycarpus,Calochortus_eurycarpus,eurycarpus,regional,10.25,50
,,,,,,,
Neoholmgrenia,andina,Neoholmgrenia_andina,Neoholmgrenia_none,none,regional,2.5,15
,,,,,,,
Carex,douglasii,Carex_douglasii,Carex_flava,flava,regional,15,46
,,,,,,,
Castilleja,chromosa,Castilleja_chromosa,Castilleja_chromosa,chromosa,regional,30.5,90
,,,,,,,
Castilleja,miniata,Castilleja_miniata,Castilleja_miniata,miniata,regional,30.5,80
,,,,,,,
Collinsia,parviflora,Collinsia_parviflora,Collinsia_parviflora,parviflora,regional,5,50
,,,,,,,
Collomia,linearis,Collomia_linearis,Collomia_linearis,linearis,regional,10.25,40.5
,,,,,,,
Cymopterus,glaucus,Cymopterus_glaucus,Cymopterus_glaucus,glaucus,regional,2,15
,,,,,,,
Delphinium,nuttallianum,Delphinium_nuttallianum,Delphinium_nuttallianum,nuttallianum,regional,15,40
,,,,,,,
Draba,verna,Draba_verna,Draba_alpina,alpina,regional,5,20
,,,,,,,
Elymus,glaucus,Elymus_glaucus,Elymus_glaucus,glaucus,regional,50,100
,,,,,,,
Elymus,lanceolatus,Elymus_lanceolatus,Elymus_lanceolatus,lanceolatus,regional,30.5,91.5
,,,,,,,
Erigeron,speciosus,Erigeron_speciosus,Erigeron_speciosus,speciosus,regional,15.25,76
,,,,,,,
Fritillaria,pudica,Fritillaria_pudica,Fritillaria_pudica,pudica,regional,10.25,30
,,,,,,,
Gilia,inconspicua,Gilia_inconspicua,Gilia_inconspicua,inconspicua,regional,8,32
,,,,,,,
Heuchera,parvifolia,Heuchera_parvifolia,Heuchera_parvifolia,parvifolia,regional,23,30.5
,,,,,,,
Hydrophyllum,capitatum,Hydrophyllum_capitatum,Hydrophyllum_capitatum_var._capitatum,capitatum_var._capitatum,regional,10.25,46
,,,,,,,
Juniperus,scopulorum,Juniperus_scopulorum,Juniperus_scopulorum,scopulorum,regional,100,1000
,,,,,,,
Koeleria,macrantha,Koeleria_macrantha,Koeleria_macrantha,macrantha,regional,30,60
,,,,,,,
Lepidium,perfoliatum,Lepidium_perfoliatum,Lepidium_perfoliatum,perfoliatum,regional,20,60
,,,,,,,
Lomatium,grayi,Lomatium_grayi,Lomatium_grayi,grayi,regional,15,50
,,,,,,,
Lomatium,nudicaule,Lomatium_nudicaule,Lomatium_nudicaule,nudicaule,regional,20,90
,,,,,,,
Lupinus,argenteus,Lupinus_argenteus,Lupinus_argenteus,argenteus,regional,10.25,40.5
,,,,,,,
Oenothera,caespitosa,Oenothera_caespitosa,Oenothera_nuttallii,nuttallii,regional,7.5,23
,,,,,,,
Orobanche,fasciculata,Orobanche_fasciculata,Orobanche_fasciculata,fasciculata,regional,3,15
,,,,,,,
Penstemon,deustus,Penstemon_deustus,Penstemon_fruticosus,fruticosus,regional,20,60
,,,,,,,
Phacelia,hastata,Phacelia_hastata,Phacelia_hastata,hastata,regional,25.5,76
,,,,,,,
Philadelphus,lewisii,Philadelphus_lewisii,Philadelphus_lewisii,lewisii,regional,150,250
,,,,,,,
Pinus,flexilis,Pinus_flexilis,Pinus_flexilis,flexilis,regional,396,1524
,,,,,,,
Polygonum,douglasii,Polygonum_douglasii,Polygonum_plebeium,plebeium,regional,20.25,40.5
,,,,,,,
