Genus,species,Genus_species,Genus_Smithspecies,smith tree names,location,min.height.cm ,max.height.cm
Senecio,integerrimus,Senecio_integerrimus,Senecio_vulgaris,vulgaris,regional,20.25,76.25
,,,,,,,
Packera,multilobata,Packera_multilobata,Packera_eurycephala,eurycephala,regional,20,40
,,,,,,,
Senecio,serra,Senecio_serra,Senecio_wootonii,wootonii,regional,61,183
,,,,,,,
Packera,streptanthifolia,Packera_streptanthifolia,Packera_plattensis,plattensis,regional,10.25,63.5
,,,,,,,
Solidago,canadensis,Solidago_canadensis,Solidago_canadensis,canadensis,regional,61,152.5
,,,,,,,
Sonchus,asper,Sonchus_asper,Sonchus_asper,asper,regional,30.5,91.5
,,,,,,,
Stylocline,psilocarphoides,Stylocline_psilocarphoides,Stylocline_psilocarphoides,psilocarphoides,regional,1,8
,,,,,,,
Tanacetum,vulgare,Tanacetum_vulgare,Tanacetum_vulgare,vulgare,regional,61,101.5
,,,,,,,
Taraxacum,officinale,Taraxacum_officinale,Taraxacum_officinale,officinale,regional,5,20.25
,,,,,,,
Tetradymia,canescens,Tetradymia_canescens,Tetradymia_canescens,canescens,regional,20.25,80
,,,,,,,
Townsendia,florifera,Townsendia_florifera,Townsendia_florifer,florifer,regional,5,20.25
,,,,,,,
Wyethia,amplexicaulis,Wyethia_amplexicaulis,Wyethia_amplexicaulis,amplexicaulis,regional,30.5,76
,,,,,,,
Xanthium,strumarium,Xanthium_strumarium,Xanthium_strumarium,strumarium,regional,30.5,152.5
,,,,,,,
Amsinckia,menziesii,Amsinckia_menziesii,Amsinckia_menziesii,menziesii,regional,10.25,38
,,,,,,,
Cryptantha,affinis,Cryptantha_affinis,Cryptantha_affinis,affinis,regional,15.25,51
,,,,,,,
Cryptantha,ambigua,Cryptantha_ambigua,Cryptantha_intermedia,intermedia,regional,5,30
,,,,,,,
Cryptantha,celosioides,Cryptantha_celosioides,Cryptantha_flavoculata,flavoculata,regional,20.25,40.5
,,,,,,,
Cryptantha,circumscissa,Cryptantha_circumscissa,Cryptantha_pterocarya,pterocarya,regional,2.5,7.5
,,,,,,,
Cryptantha,fendleri,Cryptantha_fendleri,Cryptantha_fendleri,fendleri,regional,5,20.25
,,,,,,,
Cryptantha,gracilis,Cryptantha_gracilis,Cryptantha_scoparia,scoparia,regional,10,30
,,,,,,,
Oreocarya,humilis,Oreocarya_humilis,Oreocarya_humilis,humilis,regional,5,30.5
,,,,,,,
Cryptantha,interrupta,Cryptantha_interrupta,Cryptantha_nevadensis,nevadensis,regional,15.25,40.5
,,,,,,,
Cryptantha,rostellata,Cryptantha_rostellata,Cryptantha_minima,minima,regional,10,40
,,,,,,,
Cryptantha,torreyana,Cryptantha_torreyana,Cryptantha_ganderi,ganderi,regional,10,40
,,,,,,,
Cryptantha,watsonii,Cryptantha_watsonii,Cryptantha_racemosa,racemosa,regional,10,35
,,,,,,,
Hackelia,micrantha,Hackelia_micrantha,Hackelia_micrantha,micrantha,regional,30.5,101.5
,,,,,,,
Hackelia,patens,Hackelia_patens,Hackelia_virginiana,virginiana,regional,20,100
,,,,,,,
Lappula,occidentalis,Lappula_occidentalis,Lappula_occidentalis,occidentalis,regional,10,80
,,,,,,,
Lithospermum,arvense,Lithospermum_arvense,Lithospermum_californicum,californicum,regional,15,45
,,,,,,,
Mertensia,ciliata,Mertensia_ciliata,Mertensia_ciliata,ciliata,regional,40.5,114.5
,,,,,,,
Mertensia,longiflora,Mertensia_longiflora,Mertensia_longiflora,longiflora,regional,5,20.25
,,,,,,,
Mertensia,oblongifolia,Mertensia_oblongifolia,Mertensia_oblongifolia_var._oblongifolia,oblongifolia_var._oblongifolia,regional,10.25,30.5
,,,,,,,
Pectocarya,penicillata,Pectocarya_penicillata,Pectocarya_penicillata,penicillata,regional,2,25
,,,,,,,
Pectocarya,setosa,Pectocarya_setosa,Pectocarya_setosa,setosa,regional,2,23
,,,,,,,
Plagiobothrys,scouleri,Plagiobothrys_scouleri,Plagiobothrys_shastensis,shastensis,regional,2.5,20.25
,,,,,,,
Boechera,cobrensis,Boechera_cobrensis,Boechera_cobrensis,cobrensis,regional,25,60
,,,,,,,
Boechera,glabra,Boechera_glabra,Boechera_koehleri,koehleri,regional,50,120
,,,,,,,
Boechera,holboellii,Boechera_holboellii,Boechera_cusickii,cusickii,regional,15.25,91.5
,,,,,,,
Boechera,lemmonii,Boechera_lemmonii,Boechera_lemmonii,lemmonii,regional,5,25
,,,,,,,
Boechera,lignifera,Boechera_lignifera,Boechera_lignifera,lignifera,regional,15,35
,,,,,,,
Boechera,microphylla,Boechera_microphylla,Boechera_pendulocarpa,pendulocarpa,regional,10,20
,,,,,,,
Boechera,perennans,Boechera_perennans,Boechera_perennans,perennans,regional,15,70
,,,,,,,
Boechera,sparsiflora,Boechera_sparsiflora,Boechera_howellii,howellii,regional,30,80
,,,,,,,
Boechera,suffrutescens,Boechera_suffrutescens,Boechera_suffrutescens,suffrutescens,regional,10,50
,,,,,,,
Barbarea,orthoceras,Barbarea_orthoceras,Barbarea_orthoceras,orthoceras,regional,30.5,61
,,,,,,,
Camelina,microcarpa,Camelina_microcarpa,Camelina_microcarpa,microcarpa,regional,15,40
,,,,,,,
Capsella,bursa-pastoris,Capsella_bursa-pastoris,Capsella_bursa-pastoris,bursa-pastoris,regional,10.25,51
,,,,,,,
Chorispora,tenella,Chorispora_tenella,Chorispora_tenella,tenella,regional,10.25,35.5
,,,,,,,
Descurainia,californica,Descurainia_californica,Descurainia_californica,californica,regional,20,105
,,,,,,,
Descurainia,sophia,Descurainia_sophia,Descurainia_sophia,sophia,regional,30,60
,,,,,,,
Draba,densifolia,Draba_densifolia,Draba_densifolia,densifolia,regional,10.25,15.25
,,,,,,,
Cusickiella,douglasii,Cusickiella_douglasii,Cusickiella_douglasii,douglasii,regional,10,30
,,,,,,,
Draba,paysonii,Draba_paysonii,Draba_paysonii,paysonii,regional,5,30
,,,,,,,
Erysimum,asperum,Erysimum_asperum,Erysimum_asperum,asperum,regional,5,45.75
,,,,,,,
Erysimum,cheiranthoides,Erysimum_cheiranthoides,Erysimum_cheiranthoides,cheiranthoides,regional,30.5,152.5
,,,,,,,
Erysimum,occidentale,Erysimum_occidentale,Erysimum_capitatum,capitatum,regional,20.25,51
,,,,,,,
Lepidium,densiflorum,Lepidium_densiflorum,Lepidium_densiflorum,densiflorum,regional,25,50
,,,,,,,
Lepidium,lasiocarpum,Lepidium_lasiocarpum,Lepidium_papilliferum,papilliferum,regional,15,40
,,,,,,,
Lepidium,virginicum,Lepidium_virginicum,Lepidium_virginicum,virginicum,regional,23,45.75
,,,,,,,
Physaria,occidentalis,Physaria_occidentalis,Physaria_occidentalis,occidentalis,regional,5,20.25
,,,,,,,
Nasturtium,officinale,Nasturtium_officinale,Nasturtium_officinale,officinale,regional,50,100
,,,,,,,
Phoenicaulis,cheiranthoides,Phoenicaulis_cheiranthoides,Phoenicaulis_cheiranthoides,cheiranthoides,regional,10.25,25.5
,,,,,,,
Polyctenium,fremontii,Polyctenium_fremontii,Polyctenium_fremontii,fremontii,regional,5,15
,,,,,,,
Rorippa,curvipes,Rorippa_curvipes,Rorippa_palustris,palustris,regional,10,51
,,,,,,,
Schoenocrambe,linifolia,Schoenocrambe_linifolia,Schoenocrambe_linifolia,linifolia,regional,20.25,45.75
,,,,,,,
Sisymbrium,loeselii,Sisymbrium_loeselii,Sisymbrium_loeselii,loeselii,regional,40,120
,,,,,,,
Downingia,bacigalupii,Downingia_bacigalupii,Downingia_bacigalupii,bacigalupii,regional,5,30.5
,,,,,,,
Porterella,carnosula,Porterella_carnosula,Porterella_none,none,regional,2,30
,,,,,,,
Sambucus,cerulea,Sambucus_cerulea,Sambucus_cerulea,cerulea,regional,122,610
,,,,,,,
Arenaria,congesta,Arenaria_congesta,Arenaria_montana,montana,regional,10.25,30.5
,,,,,,,
Arenaria,fendleri,Arenaria_fendleri,Arenaria_humifusa,humifusa,regional,10.25,30.5
,,,,,,,
Arenaria,franklinii,Arenaria_franklinii,Arenaria_longipedunculata,longipedunculata,regional,5,10.25
,,,,,,,
Eremogone,kingii,Eremogone_kingii,Eremogone_congesta,congesta,regional,1,20.25
,,,,,,,
Minuartia,nuttallii,Minuartia_nuttallii,Minuartia_obtusiloba,obtusiloba,regional,3,10.25
,,,,,,,
Cerastium,nutans,Cerastium_nutans,Cerastium_arvense,arvense,regional,10.25,40.5
,,,,,,,
Silene,latifolia,Silene_latifolia,Silene_latifolia,latifolia,regional,30.5,101.5
,,,,,,,
Silene,douglasii,Silene_douglasii,Silene_douglasii,douglasii,regional,10.25,38
,,,,,,,
Silene,menziesii,Silene_menziesii,Silene_menziesii,menziesii,regional,30.5,101.5
,,,,,,,
Stellaria,longipes,Stellaria_longipes,Stellaria_longipes,longipes,regional,30.5,101.5
,,,,,,,
Chenopodium,album,Chenopodium_album,Chenopodium_album,album,regional,10,100
,,,,,,,
Dysphania,botrys,Dysphania_botrys,Dysphania_graveolens,graveolens,regional,15,40
,,,,,,,
Oxybasis,chenopodioides,Oxybasis_chenopodioides,Oxybasis_none,none,regional,20,50
,,,,,,,
Chenopodium,fremontii,Chenopodium_fremontii,Chenopodium_fremontii,fremontii,regional,10,80
,,,,,,,
Oxybasis,rubra,Oxybasis_rubra,Oxybasis_rubra,rubra,regional,5,70
,,,,,,,
Chenopodiastrum,murale,Chenopodiastrum_murale,Chenopodiastrum_murale,murale,regional,10,60
,,,,,,,
Halogeton,glomeratus,Halogeton_glomeratus,Halogeton_glomeratus,glomeratus,regional,7.5,30.5
,,,,,,,
Bassia,prostrata,Bassia_prostrata,Bassia_prostrata,prostrata,regional,30,100
,,,,,,,
Bassia,scoparia,Bassia_scoparia,Bassia_scoparia,scoparia,regional,61,152.5
,,,,,,,
Blitum,nuttallianum,Blitum_nuttallianum,Blitum_nuttallianum,nuttallianum,regional,5,20
,,,,,,,
Salsola,pestifer,Salsola_pestifer,Salsola_collina,collina,regional,10,60
,,,,,,,
Hypericum,scouleri,Hypericum_scouleri,Hypericum_scouleri,scouleri,regional,15.25,61
,,,,,,,
Convolvulus,arvensis,Convolvulus_arvensis,Convolvulus_arvensis,arvensis,regional,30.5,183
,,,,,,,
Cornus,sericea,Cornus_sericea,Cornus_sericea,sericea,regional,183,548.5
,,,,,,,
Sedum,lanceolatum,Sedum_lanceolatum,Sedum_lanceolatum,lanceolatum,regional,2.5,20.25
,,,,,,,
Carex,aquatilis,Carex_aquatilis,Carex_aquatilis,aquatilis,regional,15,100
,,,,,,,
Carex,aurea,Carex_aurea,Carex_aurea,aurea,regional,5,40
,,,,,,,
Carex,hoodii,Carex_hoodii,Carex_luzulina,luzulina,regional,20,80
,,,,,,,
Carex,pellita,Carex_pellita,Carex_lachenalii,lachenalii,regional,15.25,101.5
,,,,,,,
Carex,microptera,Carex_microptera,Carex_stipata,stipata,regional,15,50
,,,,,,,
Carex,nebrascensis,Carex_nebrascensis,Carex_backii,backii,regional,30,91
,,,,,,,
Carex,pachystachya,Carex_pachystachya,Carex_rostrata,rostrata,regional,30,80
,,,,,,,
Carex,petasata,Carex_petasata,Carex_bigelowii,bigelowii,regional,30,85
,,,,,,,
Carex,praegracilis,Carex_praegracilis,Carex_atratiformis,atratiformis,regional,61,91.5
,,,,,,,
Carex,praticola,Carex_praticola,Carex_bolanderi,bolanderi,regional,30,70
,,,,,,,
Carex,scoparia,Carex_scoparia,Carex_elynoides,elynoides,regional,47.75,76
,,,,,,,
Carex,siccata,Carex_siccata,Carex_siccata,siccata,regional,15.25,91.5
,,,,,,,
Carex,simulata,Carex_simulata,Carex_garberi,garberi,regional,20,90
,,,,,,,
Carex,vallicola,Carex_vallicola,Carex_capillaris,capillaris,regional,12,60
,,,,,,,
Eleocharis,palustris,Eleocharis_palustris,Eleocharis_palustris,palustris,regional,61,122
,,,,,,,
Schoenoplectus,acutus,Schoenoplectus_acutus,Schoenoplectus_tabernaemontani,tabernaemontani,regional,100,300
,,,,,,,
Schoenoplectus,americanus,Schoenoplectus_americanus,Schoenoplectus_americanus,americanus,regional,15,100
,,,,,,,
Euphorbia,glyptosperma,Euphorbia_glyptosperma,Euphorbia_glyptosperma,glyptosperma,regional,10,30
,,,,,,,
Euphorbia,ocellata,Euphorbia_ocellata,Euphorbia_ocellata,ocellata,regional,10,35
,,,,,,,
Euphorbia,albomarginata,Euphorbia_albomarginata,Euphorbia_albomarginata,albomarginata,regional,1.25,25.5
,,,,,,,
Euphorbia,esula,Euphorbia_esula,Euphorbia_esula,esula,regional,30.5,76
,,,,,,,
Astragalus,agrestis,Astragalus_agrestis,Astragalus_alpinus,alpinus,regional,15.25,30.5
,,,,,,,
Astragalus,atratus,Astragalus_atratus,Astragalus_platytropis,platytropis,regional,20,50
,,,,,,,
Astragalus,calycosus,Astragalus_calycosus,Astragalus_calycosus,calycosus,regional,1,12
,,,,,,,
Astragalus,canadensis,Astragalus_canadensis,Astragalus_canadensis,canadensis,regional,30.5,81.25
,,,,,,,
Astragalus,cibarius,Astragalus_cibarius,Astragalus_eucosmus,eucosmus,regional,10,30
,,,,,,,
Astragalus,convallarius,Astragalus_convallarius,Astragalus_newberryi,newberryi,regional,20,40
,,,,,,,
Astragalus,curvicarpus,Astragalus_curvicarpus,Astragalus_adsurgens,adsurgens,regional,15,40
,,,,,,,
Astragalus,geyeri,Astragalus_geyeri,Astragalus_americanus,americanus,regional,5,20
,,,,,,,
Astragalus,iodanthus,Astragalus_iodanthus,Astragalus_casei,casei,regional,5,40
,,,,,,,
Astragalus,malacus,Astragalus_malacus,Astragalus_malacus,malacus,regional,10,40
,,,,,,,
Astragalus,miser,Astragalus_miser,Astragalus_humillimus,humillimus,regional,5,30
,,,,,,,
Astragalus,obscurus,Astragalus_obscurus,Astragalus_wootonii,wootonii,regional,20,30
,,,,,,,
Astragalus,oniciformis,Astragalus_oniciformis,Astragalus_umbellatus,umbellatus,regional,10,25
,,,,,,,
Astragalus,scopulorum,Astragalus_scopulorum,Astragalus_trichopodus,trichopodus,regional,30,50
,,,,,,,
Astragalus,terminalis,Astragalus_terminalis,Astragalus_acutirostris,acutirostris,regional,5,30
,,,,,,,
Astragalus,whitneyi,Astragalus_whitneyi,Astragalus_coccineus,coccineus,regional,5,25.5
,,,,,,,
Glycyrrhiza,lepidota,Glycyrrhiza_lepidota,Glycyrrhiza_lepidota,lepidota,regional,30.5,122
,,,,,,,
Lotus,tenuis,Lotus_tenuis,Lotus_tenuis,tenuis,regional,10,40
,,,,,,,
Lupinus,arbustus,Lupinus_arbustus,Lupinus_albicaulis,albicaulis,regional,20.25,63.5
,,,,,,,
Lupinus,caudatus,Lupinus_caudatus,Lupinus_nanus,nanus,regional,20.25,51
,,,,,,,
Lupinus,polyphyllus,Lupinus_polyphyllus,Lupinus_polyphyllus,polyphyllus,regional,30.5,61
,,,,,,,
Medicago,falcata,Medicago_falcata,Medicago_falcata,falcata,regional,20,60
,,,,,,,
Medicago,lupulina,Medicago_lupulina,Medicago_lupulina,lupulina,regional,10.25,51
,,,,,,,
Medicago,sativa,Medicago_sativa,Medicago_sativa,sativa,regional,20.25,89
,,,,,,,
Melilotus,alba,Melilotus_alba,Melilotus_albus,albus,regional,91.5,244
,,,,,,,
Melilotus,officinalis,Melilotus_officinalis,Melilotus_officinalis,officinalis,regional,51,101.5
,,,,,,,
Onobrychis,viciifolia,Onobrychis_viciifolia,Onobrychis_viciifolia,viciifolia,regional,20,50
,,,,,,,
Oxytropis,lagopus,Oxytropis_lagopus,Oxytropis_sericea,sericea,regional,5,15
,,,,,,,
Ladeania,lanceolata,Ladenia_lanceolata,Ladeania_lanceolata,lanceolata,regional,10,80
,,,,,,,
Trifolium,cyathiferum,Trifolium_cyathiferum,Trifolium_cyathiferum,cyathiferum,regional,10.25,35.5
,,,,,,,
Trifolium,gymnocarpon,Trifolium_gymnocarpon,Trifolium_gymnocarpon,gymnocarpon,regional,2.5,5
,,,,,,,
Trifolium,hybridum,Trifolium_hybridum,Trifolium_hybridum,hybridum,regional,20,50
,,,,,,,
Trifolium,pratense,Trifolium_pratense,Trifolium_pratense,pratense,regional,15.25,61
,,,,,,,
Trifolium,repens,Trifolium_repens,Trifolium_repens,repens,regional,5,10.25
,,,,,,,
Trifolium,wormskioldii,Trifolium_wormskioldii,Trifolium_wormskioldii,wormskioldii,regional,10.25,30.5
,,,,,,,
Dicentra,uniflora,Dicentra_uniflora,Dicentra_uniflora,uniflora,regional,5,10.25
,,,,,,,
Gentiana,affinis,Gentiana_affinis,Gentiana_nivalis,nivalis,regional,5,66
,,,,,,,
Erodium,cicutarium,Erodium_cicutarium,Erodium_cicutarium,cicutarium,regional,2.5,30.5
,,,,,,,
Geranium,viscosissimum,Geranium_viscosissimum,Geranium_richardsonii,richardsonii,regional,30.5,91.5
,,,,,,,
Ribes,hudsonianum,Ribes_hudsonianum,Ribes_hudsonianum,hudsonianum,regional,61,152.5
,,,,,,,
Hesperochiron,pumilus,Hesperochiron_pumilus,Hesperochiron_pumilus,pumilus,regional,2.5,10.25
,,,,,,,
Nama,densa,Nama_densa,Nama_aretioides,aretioides,regional,5,10
,,,,,,,
Nemophila,breviflora,Nemophila_breviflora,Nemophila_parviflora,parviflora,regional,10,30
,,,,,,,
Phacelia,glandulifera,Phacelia_glandulifera,Phacelia_glandulifera,glandulifera,regional,5,25
,,,,,,,
Phacelia,incana,Phacelia_incana,Phacelia_ramosissima,ramosissima,regional,8,15
,,,,,,,
Phacelia,inconspicua,Phacelia_inconspicua,Phacelia_glandulosa,glandulosa,regional,5,20
,,,,,,,
Phacelia,linearis,Phacelia_linearis,Phacelia_linearis,linearis,regional,7.5,25.5
,,,,,,,
Iris,missouriensis,Iris_missouriensis,Iris_missouriensis,missouriensis,regional,20.25,61
,,,,,,,
Sisyrinchium,demissum,Sisyrinchium_demissum,Sisyrinchium_demissum,demissum,regional,15,30
,,,,,,,
Sisyrinchium,idahoense,Sisyrinchium_idahoense,Sisyrinchium_idahoense,idahoense,regional,10.25,40.5
,,,,,,,
Juncus,arcticus,Juncus_arcticus,Juncus_arcticus_subsp._arcticus,arcticus_subsp._arcticus,regional,40,110
,,,,,,,
Juncus,balticus,Juncus_balticus,Juncus_balticus,balticus,regional,15,80
,,,,,,,
Juncus,bufonius,Juncus_bufonius,Juncus_bufonius,bufonius,regional,5,40
,,,,,,,
Juncus,ensifolius,Juncus_ensifolius,Juncus_covillei,covillei,regional,20,60
,,,,,,,
Juncus,tenuis,Juncus_tenuis,Juncus_tenuis,tenuis,regional,15.25,61
,,,,,,,
Juncus,triglumis,Juncus_triglumis,Juncus_triglumis,triglumis,regional,3,35
,,,,,,,
Triglochin,maritima,Triglochin_maritima,Triglochin_maritima,maritima,regional,30.5,76.25
,,,,,,,
Marrubium,vulgare,Marrubium_vulgare,Marrubium_vulgare,vulgare,regional,30.5,91.5
,,,,,,,
Mentha,arvensis,Mentha_arvensis,Mentha_arvensis,arvensis,regional,30.5,76
,,,,,,,
Monardella,odoratissima,Monardella_odoratissima,Monardella_odoratissima,odoratissima,regional,15.25,61
,,,,,,,
Scutellaria,antirrhinoides,Scutellaria_antirrhinoides,Scutellaria_none,none,regional,10,35
,,,,,,,
Allium,brandegeei,Allium_brandegeei,Allium_brandegeei,brandegeei,regional,2.5,7.5
,,,,,,,
Allium,geyeri,Allium_geyeri,Allium_lemmonii,lemmonii,regional,10.25,61
,,,,,,,
Allium,nevadense,Allium_nevadense,Allium_nevadense,nevadense,regional,5,15.25
,,,,,,,
Allium,simillimum,Allium_simillimum,Allium_simillimum,simillimum,regional,2.5,3
,,,,,,,
Allium,textile,Allium_textile,Allium_textile,textile,regional,15,25
,,,,,,,
Allium,tolmiei,Allium_tolmiei,Allium_tolmiei,tolmiei,regional,5,15.25
,,,,,,,
Calochortus,bruneaunis,Calochortus_bruneaunis,Calochortus_bruneaunis,bruneaunis,regional,10.25,38
,,,,,,,
Calochortus,nuttallii,Calochortus_nuttallii,Calochortus_nuttallii,nuttallii,regional,15,45
,,,,,,,
Camassia,quamash,Camassia_quamash,Camassia_quamash_subsp._quamash,quamash_subsp._quamash,regional,15.25,66
,,,,,,,
Fritillaria,atropurpurea,Fritillaria_atropurpurea,Fritillaria_atropurpurea,atropurpurea,regional,12.75,63.5
,,,,,,,
Maianthemum,racemosum,Maianthemum_racemosum,Maianthemum_racemosum,racemosum,regional,30.5,94
,,,,,,,
Maianthemum,stellatum,Maianthemum_stellatum,Maianthemum_stellatum,stellatum,regional,30.5,61
,,,,,,,
Veratrum,californicum,Veratrum_californicum,Veratrum_californicum,californicum,regional,91.5,183
,,,,,,,
Anticlea,elegans,Anticlea_elegans,Anticlea_elegans,elegans,regional,30.5,91.5
,,,,,,,
Toxicoscordion,venenosum,Toxicoscordion_venenosum,Toxicoscordion_venenosum,venenosum,regional,15.25,45.75
,,,,,,,
Linum,perenne,Linum_perenne,Linum_perenne,perenne,regional,15.25,91.5
,,,,,,,
Mentzelia ,dispersa,Mentzelia _dispersa,Mentzelia_dispersa,dispersa,regional,7,48
,,,,,,,
Iliamna,rivularis,Iliamna_rivularis,Iliamna_none,none,regional,91.5,183
,,,,,,,
Malva,neglecta,Malva_neglecta,Malva_neglecta,neglecta,regional,15.25,61
,,,,,,,
Sidalcea,oregana,Sidalcea_oregana,Sidalcea_none,none,regional,61,122
,,,,,,,
Taraxia,tanacetifolia,Taraxia_tanacetifolia,Taraxia_none,none,regional,1,10
,,,,,,,
Eremothera,minor,Eremothera_minor,Eremothera_none,none,regional,3,30
,,,,,,,
Camissonia,parvula,Camissonia_parvula,Camissonia_none,none,regional,15,30
,,,,,,,
Taraxia,subacaulis,Taraxia_subacaulis,Taraxia_none,none,regional,1,10
,,,,,,,
Circaea,alpina,Circaea_alpina,Circaea_alpina,alpina,regional,12.75,35.5
,,,,,,,
Clarkia,rhomboidea,Clarkia_rhomboidea,Clarkia_epilobioides,epilobioides,regional,20.25,56
,,,,,,,
Epilobium,anagallidifolium,Epilobium_anagallidifolium,Epilobium_anagallidifolium,anagallidifolium,regional,2.5,23
,,,,,,,
Epilobium,angustifolium,Epilobium_angustifolium,Epilobium_adenocaulon,adenocaulon,regional,122,183
,,,,,,,
Epilobium,brachycarpum,Epilobium_brachycarpum,Epilobium_leptophyllum,leptophyllum,regional,30.5,91.5
,,,,,,,
Epilobium,ciliatum,Epilobium_ciliatum,Epilobium_ciliatum,ciliatum,regional,15,150
,,,,,,,
Epilobium,densiflorum,Epilobium_densiflorum,Epilobium_none,none,regional,15.25,101.5
,,,,,,,
Epilobium,halleanum,Epilobium_halleanum,Epilobium_none,none,regional,20,60
,,,,,,,
Epilobium,campestre,Epilobium_campestre,Epilobium_none,none,regional,10,30
,,,,,,,
Gayophytum,decipiens,Gayophytum_decipiens,Gayophytum_none,none,regional,10,50
,,,,,,,
Gayophytum,diffusum,Gayophytum_diffusum,Gayophytum_none,none,regional,10.25,51
,,,,,,,
Oenothera,elata,Oenothera_elata,Oenothera_brachycarpa,brachycarpa,regional,40,250
,,,,,,,
Corallorhiza,maculata,Corallorhiza_maculata,Corallorhiza_trifida,trifida,regional,17.75,56
,,,,,,,
Corallorhiza,striata,Corallorhiza_striata,Corallorhiza_wisteriana,wisteriana,regional,30.5,51
,,,,,,,
Platanthera,dilatata,Platanthera_dilatata,Platanthera_obtusata,obtusata,regional,30.5,114
,,,,,,,
Platanthera,hyperborea,Platanthera_hyperborea,Platanthera_hyperborea,hyperborea,regional,15.25,101.5
,,,,,,,
Orobanche,corymbosa,Orobanche_corymbosa,Orobanche_corymbosa,corymbosa,regional,5,12
,,,,,,,
Plantago,patagonica,Plantago_patagonica,Plantago_patagonica,patagonica,regional,5,20.25
,,,,,,,
Agrostis,exarata,Agrostis_exarata,Agrostis_exarata,exarata,regional,30,100
,,,,,,,
Agrostis,scabra,Agrostis_scabra,Agrostis_scabra,scabra,regional,30.5,122
,,,,,,,
Alopecurus,aequalis,Alopecurus_aequalis,Alopecurus_aequalis,aequalis,regional,23,45.75
,,,,,,,
Aristida,purpurea,Aristida_purpurea,Aristida_purpurea,purpurea,regional,30.5,51
,,,,,,,
Avena,fatua,Avena_fatua,Avena_fatua,fatua,regional,30,120
,,,,,,,
Avena,sativa,Avena_sativa,Avena_sativa,sativa,regional,60,120
,,,,,,,
Bromus,inermis,Bromus_inermis,Bromus_inermis,inermis,regional,61,122
,,,,,,,
Bromus,japonicus,Bromus_japonicus,Bromus_japonicus,japonicus,regional,20,120
,,,,,,,
Bromus,marginatus,Bromus_marginatus,Bromus_carinatus,carinatus,regional,30,100
,,,,,,,
Bromus,riparius,Bromus_riparius,Bromus_rubens,rubens,regional,50,120
,,,,,,,
Bromus,secalinus,Bromus_secalinus,Bromus_secalinus,secalinus,regional,38,91.5
,,,,,,,
Bromus,squarrosus,Bromus_squarrosus,Bromus_squarrosus,squarrosus,regional,10,43
,,,,,,,
Calamagrostis,rubescens,Calamagrostis_rubescens,Calamagrostis_canadensis,canadensis,regional,30,50
,,,,,,,
Catabrosa,aquatica,Catabrosa_aquatica,Catabrosa_aquatica,aquatica,regional,10.25,40.75
,,,,,,,
Cinna,latifolia,Cinna_latifolia,Cinna_latifolia,latifolia,regional,60,150
,,,,,,,
Dactylis,glomerata,Dactylis_glomerata,Dactylis_glomerata,glomerata,regional,50,120
,,,,,,,
Danthonia,unispicata,Danthonia_unispicata,Danthonia_intermedia,intermedia,regional,10,30
,,,,,,,
Deschampsia,danthonioides,Deschampsia_danthonioides,Deschampsia_cespitosa,cespitosa,regional,10,60
,,,,,,,
Deschampsia,elongata,Deschampsia_elongata,Deschampsia_cespitosa_subsp._cespitosa,cespitosa_subsp._cespitosa,regional,30,120
,,,,,,,
Elymus,aristatus,Elymus_aristatus,Elymus_multisetus,multisetus,regional,70,100
,,,,,,,
Elymus,elongatus,Elymus_elongatus,Elymus_elongatus,elongatus,regional,100,300
,,,,,,,
Elymus,flavescens,Elymus_flavescens,Elymus_canadensis,canadensis,regional,60,100
,,,,,,,
Elymus,hansenii,Elymus_hansenii,Elymus_nutans,nutans,regional,90,120
,,,,,,,
Elymus,hispidus,Elymus_hispidus,Elymus_hispidus,hispidus,regional,91.5,122
,,,,,,,
Elymus,junceus,Elymus_junceus,Elymus_alaskanus_subsp._alaskanus,alaskanus_subsp._alaskanus,regional,50,100
,,,,,,,
Elymus,repens,Elymus_repens,Elymus_repens,repens,regional,30.5,91.5
,,,,,,,
Elymus,saundersii,Elymus_saundersii,Elymus_virginicus,virginicus,regional,60,100
,,,,,,,
Pseudelymus,saxicola,Pseudelymus_saxicola,Pseudelymus_none,none,regional,50,80
,,,,,,,
Elymus,spicatus,Elymus_spicatus,Elymus_spicatus,spicatus,regional,50,100
,,,,,,,
Elymus,trachycaulus,Elymus_trachycaulus,Elymus_trachycaulus,trachycaulus,regional,40,110
,,,,,,,
Elymus,wawawaiensis,Elymus_wawawaiensis,Elymus_wawawaiensis,wawawaiensis,regional,45.75,122
,,,,,,,
Eremopyrum,triticeum,Eremopyrum_triticeum,Eremopyrum_triticeum,triticeum,regional,10,30
,,,,,,,
Vulpia,bromoides,Vulpia_bromoides,Vulpia_ciliata,ciliata,regional,10,50
,,,,,,,
Festuca,octoflora,Festuca_octoflora,Festuca_octoflora,octoflora,regional,5,40.75
,,,,,,,
Festuca,ovina,Festuca_ovina,Festuca_idahoensis,idahoensis,regional,23,30.5
,,,,,,,
Vulpia,microstachys,Vulpia_microstachys,Vulpia_none,none,regional,15,75
,,,,,,,
Festuca,trachyphylla,Festuca_trachyphylla,Festuca_trachyphylla,trachyphylla,regional,23,61
,,,,,,,
Glyceria,striata,Glyceria_striata,Glyceria_striata,striata,regional,30.5,122
,,,,,,,
